year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Normalized year;Normalized month;Normalized day;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;9;15;30;40;0;0.0;1.0;0.5;0.2903225806451613;0.6521739130434783;1.0;0.3669724770642202;0.0;0.0;0.0;0
2016;1;14;5;30;7;0;0.0;1.0;0.5;0.45161290322580644;0.21739130434782608;1.0;0.06422018348623854;0.0;0.0;0.0;0
2016;1;18;11;0;53;0;0.0;1.0;0.5;0.5806451612903226;0.4782608695652174;0.0;0.48623853211009177;0.0;0.0;0.0;0
2016;1;18;2;30;12;0;0.0;1.0;0.5;0.5806451612903226;0.08695652173913043;1.0;0.11009174311926606;0.0;0.0;0.0;0
2016;1;16;21;30;67;0;0.0;1.0;0.5;0.5161290322580645;0.9130434782608695;1.0;0.6146788990825688;0.0;0.0;0.0;0
2016;1;14;22;30;39;0;2.55;1.0;0.5;0.45161290322580644;0.9565217391304348;1.0;0.3577981651376147;0.0;0.10718789407313997;1.77;0
2016;1;15;0;30;24;1;0.59;1.0;0.5;0.4838709677419355;0.0;1.0;0.22018348623853212;0.25;0.024800336275746113;0.4;0
2016;1;16;13;30;63;0;0.0;1.0;0.5;0.5161290322580645;0.5652173913043478;1.0;0.5779816513761468;0.0;0.0;0.0;0
2016;1;6;9;0;24;0;0.0;1.0;0.5;0.1935483870967742;0.391304347826087;0.0;0.22018348623853212;0.0;0.0;0.0;0
2016;1;23;16;30;59;0;0.0;1.0;0.5;0.7419354838709677;0.6956521739130435;1.0;0.5412844036697247;0.0;0.0;0.0;0
2016;1;20;3;30;5;0;0.0;1.0;0.5;0.6451612903225806;0.13043478260869565;1.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;19;6;30;7;0;0.0;1.0;0.5;0.6129032258064516;0.2608695652173913;1.0;0.06422018348623854;0.0;0.0;0.0;0
2016;1;12;9;30;30;0;0.0;1.0;0.5;0.3870967741935484;0.391304347826087;1.0;0.27522935779816515;0.0;0.0;0.2;0
2016;1;17;22;30;58;0;0.0;1.0;0.5;0.5483870967741935;0.9565217391304348;1.0;0.5321100917431193;0.0;0.0;0.0;0
2016;1;2;21;0;0;0;0.0;1.0;0.5;0.06451612903225806;0.9130434782608695;0.0;0.0;0.0;0.0;0.0;0
2016;1;30;10;30;36;0;0.0;1.0;0.5;0.967741935483871;0.43478260869565216;1.0;0.3302752293577982;0.0;0.0;0.0;0
2016;1;6;14;30;26;0;0.0;1.0;0.5;0.1935483870967742;0.6086956521739131;1.0;0.23853211009174313;0.0;0.0;0.0;0
2016;1;7;1;30;11;0;0.0;1.0;0.5;0.22580645161290322;0.043478260869565216;1.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;31;17;30;70;0;0.0;1.0;0.5;1.0;0.7391304347826086;1.0;0.6422018348623854;0.0;0.0;0.0;0
2016;1;19;7;0;11;0;0.0;1.0;0.5;0.6129032258064516;0.30434782608695654;0.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;24;10;0;23;0;0.0;1.0;0.5;0.7741935483870968;0.43478260869565216;0.0;0.21100917431192662;0.0;0.0;0.0;0
2016;1;19;2;30;14;0;0.0;1.0;0.5;0.6129032258064516;0.08695652173913043;1.0;0.12844036697247707;0.0;0.0;0.0;0
2016;1;13;22;30;47;0;0.0;1.0;0.5;0.41935483870967744;0.9565217391304348;1.0;0.43119266055045874;0.0;0.0;0.0;0
2016;1;16;2;30;20;0;0.0;1.0;0.5;0.5161290322580645;0.08695652173913043;1.0;0.1834862385321101;0.0;0.0;0.0;0
2016;1;5;16;30;33;0;0.0;1.0;0.5;0.16129032258064516;0.6956521739130435;1.0;0.30275229357798167;0.0;0.0;0.0;0
2016;1;3;10;30;12;0;0.0;1.0;0.5;0.0967741935483871;0.43478260869565216;1.0;0.11009174311926606;0.0;0.0;0.0;0
2016;1;12;18;30;44;0;0.0;1.0;0.5;0.3870967741935484;0.782608695652174;1.0;0.4036697247706422;0.0;0.0;0.0;0
2016;1;14;20;0;42;1;0.2;1.0;0.5;0.45161290322580644;0.8695652173913043;0.0;0.3853211009174312;0.25;0.008406893652795292;0.2;0
2016;1;4;17;0;37;0;0.0;1.0;0.5;0.12903225806451613;0.7391304347826086;0.0;0.3394495412844037;0.0;0.0;0.0;0
2016;1;14;11;30;41;0;0.0;1.0;0.5;0.45161290322580644;0.4782608695652174;1.0;0.3761467889908257;0.0;0.0;0.2;0
2016;1;9;9;0;19;0;0.0;1.0;0.5;0.2903225806451613;0.391304347826087;0.0;0.1743119266055046;0.0;0.0;0.0;0
2016;1;25;9;0;55;0;0.0;1.0;0.5;0.8064516129032258;0.391304347826087;0.0;0.5045871559633027;0.0;0.0;0.0;0
2016;1;24;7;0;11;0;0.0;1.0;0.5;0.7741935483870968;0.30434782608695654;0.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;25;6;0;11;0;0.0;1.0;0.5;0.8064516129032258;0.2608695652173913;0.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;7;0;30;20;0;0.0;1.0;0.5;0.22580645161290322;0.0;1.0;0.1834862385321101;0.0;0.0;0.0;0
2016;1;18;18;30;56;0;0.0;1.0;0.5;0.5806451612903226;0.782608695652174;1.0;0.5137614678899083;0.0;0.0;0.0;0
