year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;28;11;0;9;0;0.0;0.0;fraca
2016;1;15;5;30;3;0;0.0;0.0;fraca
2016;1;12;16;30;13;0;0.0;0.0;fraca
2016;1;16;17;0;8;0;0.0;0.0;fraca
2016;1;12;10;0;19;0;0.2;0.78;fraca
2016;1;14;21;30;6;0;1.38;0.79;fraca
2016;1;13;21;30;8;0;0.0;0.0;fraca
2016;1;26;21;0;6;0;0.0;0.0;fraca
2016;1;6;0;30;28;0;0.0;0.0;fraca
2016;1;30;4;0;4;0;0.0;0.0;fraca
2016;1;27;0;0;6;0;0.0;0.0;fraca
2016;1;29;20;0;10;0;0.0;0.0;fraca
2016;1;20;23;0;3;0;0.0;0.0;fraca
2016;1;5;1;30;1;0;0.0;0.0;fraca
2016;1;24;20;0;4;0;0.0;0.0;fraca
2016;1;1;12;30;1;0;0.0;0.0;fraca
2016;1;27;19;0;6;0;0.78;2.16;fraca
2016;1;8;19;0;7;0;0.0;0.0;fraca
2016;1;22;5;30;3;0;0.0;0.0;fraca
2016;1;2;0;0;1;0;0.0;0.0;fraca
2016;1;28;2;0;0;0;0.0;0.0;fraca
2016;1;14;7;30;2;0;0.0;0.0;fraca
2016;1;18;6;30;1;0;0.0;0.0;fraca
2016;1;9;21;0;0;0;6.1;6.11;moderada
2016;1;16;7;0;2;0;0.0;0.0;fraca
2016;1;24;20;30;3;0;0.0;0.0;fraca
2016;1;6;2;30;4;0;0.0;0.0;fraca
2016;1;18;14;30;5;0;0.0;0.0;fraca
2016;1;22;21;0;7;0;0.0;0.0;fraca
2016;1;23;0;30;6;0;0.0;0.0;fraca
2016;1;20;21;0;9;0;0.0;0.0;fraca
2016;1;22;9;30;8;0;0.0;0.0;fraca
2016;1;18;13;30;12;0;0.0;0.0;fraca
2016;1;30;0;30;4;0;0.0;0.0;fraca
2016;1;26;14;0;10;0;0.0;0.0;fraca
2016;1;8;7;30;7;0;0.0;0.0;fraca
2016;1;23;17;0;7;0;0.0;0.0;fraca
2016;1;5;12;0;11;0;0.0;0.0;fraca
2016;1;9;20;0;0;0;0.39;1.57;fraca
2016;1;3;20;30;7;0;0.0;0.0;fraca
2016;1;26;10;0;5;0;0.0;0.0;fraca
2016;1;14;11;30;5;0;0.0;0.0;fraca
2016;1;30;18;0;8;0;1.76;0.0;fraca
2016;1;18;15;30;12;0;0.0;0.0;fraca
2016;1;22;16;0;4;0;0.0;0.0;fraca
2016;1;4;8;0;7;0;0.0;0.0;fraca
