hour;minute;tweets;related;rainfall class;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0
15;30;2;0;0.0;0.6521739130434783;1.0;0.15384615384615385;0.0;0.0;0
16;0;1;0;0.0;0.6956521739130435;0.0;0.07692307692307693;0.0;0.0;0
19;30;1;0;0.0;0.8260869565217391;1.0;0.07692307692307693;0.0;0.0;0
17;0;1;0;0.0;0.7391304347826086;0.0;0.07692307692307693;0.0;0.0;0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0
10;0;0;0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0
0;30;0;0;0.59;0.0;1.0;0.0;0.0;0.034869976359338056;0
23;30;3;0;0.0;1.0;1.0;0.23076923076923078;0.0;0.0;0
10;0;2;0;0.0;0.43478260869565216;0.0;0.15384615384615385;0.0;0.0;0
6;0;1;0;0.0;0.2608695652173913;0.0;0.07692307692307693;0.0;0.0;0
13;0;3;0;0.0;0.5652173913043478;0.0;0.23076923076923078;0.0;0.0;0
6;30;1;0;0.0;0.2608695652173913;1.0;0.07692307692307693;0.0;0.0;0
13;0;1;0;0.0;0.5652173913043478;0.0;0.07692307692307693;0.0;0.0;0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0
4;30;0;0;0.4;0.17391304347826086;1.0;0.0;0.0;0.02364066193853428;0
4;30;1;0;0.0;0.17391304347826086;1.0;0.07692307692307693;0.0;0.0;0
11;0;1;0;0.0;0.4782608695652174;0.0;0.07692307692307693;0.0;0.0;0
18;30;3;0;0.0;0.782608695652174;1.0;0.23076923076923078;0.0;0.0;0
10;0;1;0;0.0;0.43478260869565216;0.0;0.07692307692307693;0.0;0.0;0
5;30;0;0;0.2;0.21739130434782608;1.0;0.0;0.0;0.01182033096926714;0
13;0;1;0;0.0;0.5652173913043478;0.0;0.07692307692307693;0.0;0.0;0
6;30;1;0;0.0;0.2608695652173913;1.0;0.07692307692307693;0.0;0.0;0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0
10;30;1;0;0.0;0.43478260869565216;1.0;0.07692307692307693;0.0;0.0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0
0;0;1;0;0.6;0.0;0.0;0.07692307692307693;0.0;0.035460992907801414;0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0
23;0;1;0;0.0;1.0;0.0;0.07692307692307693;0.0;0.0;0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0
21;0;5;0;0.0;0.9130434782608695;0.0;0.38461538461538464;0.0;0.0;0
13;0;5;0;0.2;0.5652173913043478;0.0;0.38461538461538464;0.0;0.01182033096926714;0
11;30;1;0;0.0;0.4782608695652174;1.0;0.07692307692307693;0.0;0.0;0
11;30;1;0;0.0;0.4782608695652174;1.0;0.07692307692307693;0.0;0.0;0
19;30;1;0;1.58;0.8260869565217391;1.0;0.07692307692307693;0.0;0.0933806146572104;0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0
23;30;3;0;0.0;1.0;1.0;0.23076923076923078;0.0;0.0;0
17;30;1;0;0.0;0.7391304347826086;1.0;0.07692307692307693;0.0;0.0;0
20;0;2;0;0.0;0.8695652173913043;0.0;0.15384615384615385;0.0;0.0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0
0;0;1;0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0
13;0;5;0;0.0;0.5652173913043478;0.0;0.38461538461538464;0.0;0.0;0
