hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
17;0;10;0;0.0;0.7391304347826086;0.0;0.17543859649122806;0.0;0.0;0.0;0
11;30;11;0;0.0;0.4782608695652174;1.0;0.19298245614035087;0.0;0.0;0.0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0
2;0;4;0;0.0;0.08695652173913043;0.0;0.07017543859649122;0.0;0.0;0.0;0
13;0;23;0;0.0;0.5652173913043478;0.0;0.40350877192982454;0.0;0.0;0.0;0
6;0;2;0;0.2;0.2608695652173913;0.0;0.03508771929824561;0.0;0.005509641873278238;0.0;0
20;0;35;0;0.0;0.8695652173913043;0.0;0.6140350877192983;0.0;0.0;0.0;0
10;30;15;0;0.0;0.43478260869565216;1.0;0.2631578947368421;0.0;0.0;0.0;0
9;30;13;0;0.2;0.391304347826087;1.0;0.22807017543859648;0.0;0.005509641873278238;0.2;0
1;0;7;0;0.2;0.043478260869565216;0.0;0.12280701754385964;0.0;0.005509641873278238;0.59;0
8;30;6;0;0.0;0.34782608695652173;1.0;0.10526315789473684;0.0;0.0;0.0;0
19;30;16;0;0.0;0.8260869565217391;1.0;0.2807017543859649;0.0;0.0;0.0;0
14;0;15;0;1.18;0.6086956521739131;0.0;0.2631578947368421;0.0;0.0325068870523416;1.77;0
9;30;8;0;0.2;0.391304347826087;1.0;0.14035087719298245;0.0;0.005509641873278238;0.0;0
1;0;6;0;0.0;0.043478260869565216;0.0;0.10526315789473684;0.0;0.0;0.0;0
20;0;15;0;0.0;0.8695652173913043;0.0;0.2631578947368421;0.0;0.0;0.0;0
1;30;4;0;0.2;0.043478260869565216;1.0;0.07017543859649122;0.0;0.005509641873278238;0.0;0
9;0;13;0;0.0;0.391304347826087;0.0;0.22807017543859648;0.0;0.0;0.2;0
3;30;1;0;0.0;0.13043478260869565;1.0;0.017543859649122806;0.0;0.0;0.0;0
13;0;8;1;0.0;0.5652173913043478;0.0;0.14035087719298245;0.25;0.0;0.0;0
5;0;0;0;0.2;0.21739130434782608;0.0;0.0;0.0;0.005509641873278238;1.18;0
18;30;17;0;0.0;0.782608695652174;1.0;0.2982456140350877;0.0;0.0;0.0;0
9;0;10;0;0.0;0.391304347826087;0.0;0.17543859649122806;0.0;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.4;0
23;30;5;0;0.0;1.0;1.0;0.08771929824561403;0.0;0.0;0.0;0
12;0;21;0;0.0;0.5217391304347826;0.0;0.3684210526315789;0.0;0.0;0.0;0
8;0;4;0;0.0;0.34782608695652173;0.0;0.07017543859649122;0.0;0.0;0.0;0
3;0;3;0;0.0;0.13043478260869565;0.0;0.05263157894736842;0.0;0.0;0.0;0
10;0;24;0;0.2;0.43478260869565216;0.0;0.42105263157894735;0.0;0.005509641873278238;0.0;0
12;30;22;0;0.0;0.5217391304347826;1.0;0.38596491228070173;0.0;0.0;0.0;0
10;30;19;0;0.0;0.43478260869565216;1.0;0.3333333333333333;0.0;0.0;0.0;0
5;0;1;0;0.0;0.21739130434782608;0.0;0.017543859649122806;0.0;0.0;0.0;0
18;0;22;0;0.0;0.782608695652174;0.0;0.38596491228070173;0.0;0.0;0.0;0
11;30;11;0;0.0;0.4782608695652174;1.0;0.19298245614035087;0.0;0.0;0.0;0
13;30;20;0;0.0;0.5652173913043478;1.0;0.3508771929824561;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0
19;0;23;0;0.0;0.8260869565217391;0.0;0.40350877192982454;0.0;0.0;0.0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.017543859649122806;0.0;0.0;0.0;0
19;30;10;0;0.0;0.8260869565217391;1.0;0.17543859649122806;0.0;0.0;0.0;0
