year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;21;7;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;19;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;21;30;14;0;1.18;0.0;0.0;0.6;fraca
2016;1;8;16;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;20;0;25;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;12;0;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;9;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;3;0;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;2;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;7;30;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;13;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;0;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;12;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;20;0;22;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;20;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;16;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;14;30;21;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;11;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;21;0;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;4;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;8;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;0;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;6;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;15;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;8;30;1;0;0.59;0.0;0.0;0.2;fraca
2016;1;17;11;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;0;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;10;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;0;30;22;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;17;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;2;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;3;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;16;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;18;30;30;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;3;30;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;8;30;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;13;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;8;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;13;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;13;0;18;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;5;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;8;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;3;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;21;30;24;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;15;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;22;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;13;30;21;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;4;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;8;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;9;30;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;22;30;7;0;0.0;0.0;0.0;0.4;fraca
2016;1;15;18;0;10;0;0.4;0.0;0.0;0.0;fraca
2016;1;28;20;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;6;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;18;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;6;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;10;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;12;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;17;30;33;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;17;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;14;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;2;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;23;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;23;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;0;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;4;0;9;0;0.2;0.0;0.0;0.0;fraca
2016;1;15;19;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;23;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;21;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;2;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;15;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;12;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;17;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;2;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;18;0;20;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;13;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;22;30;25;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;17;0;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;3;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;6;30;0;0;0.2;0.0;0.0;0.0;fraca
2016;1;26;19;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;21;30;21;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;14;30;23;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;19;0;26;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;2;30;2;0;0.4;0.0;0.0;0.0;fraca
2016;1;8;21;30;29;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;2;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;5;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;1;0;0;0;0.2;0.0;0.0;0.0;fraca
2016;1;4;3;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;19;30;21;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;23;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;11;30;10;0;0.0;0.0;0.0;0.2;fraca
2016;1;2;17;30;15;0;2.96;0.0;0.0;0.2;fraca
2016;1;5;7;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;5;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;17;30;20;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;1;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;7;30;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;6;30;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;1;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;7;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;18;30;30;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;23;30;23;0;0.2;0.0;0.0;0.2;fraca
2016;1;4;13;30;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;9;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;22;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;8;0;5;0;0.2;0.0;0.0;0.0;fraca
2016;1;10;14;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;16;0;11;0;0.0;0.0;0.0;7.14;moderada
2016;1;14;2;30;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;14;30;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;3;30;4;0;0.0;0.0;0.0;0.2;fraca
2016;1;14;7;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;12;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;10;30;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;12;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;2;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;14;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;16;30;15;0;0.0;0.0;0.0;0.39;fraca
2016;1;27;11;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;19;30;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;23;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;3;0;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;22;0;16;0;0.4;0.0;0.0;1.18;fraca
2016;1;9;10;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;21;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;17;30;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;0;0;6;0;0.6;0.0;0.0;0.2;fraca
2016;1;20;9;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;10;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;13;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;9;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;0;30;3;0;0.2;0.0;0.0;0.2;fraca
2016;1;19;15;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;1;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;13;0;10;0;0.2;0.0;0.0;0.0;fraca
2016;1;13;7;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;9;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;12;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;15;30;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;6;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;9;0;3;0;0.2;0.0;0.0;0.59;fraca
2016;1;22;18;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;9;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;5;30;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;11;30;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;3;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;5;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;12;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;11;0;24;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;4;0;1;0;0.0;0.0;0.0;0.2;fraca
2016;1;30;12;30;9;0;0.0;0.0;0.0;0.2;fraca
2016;1;12;10;0;11;0;0.0;0.0;0.0;0.79;fraca
2016;1;6;7;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;18;30;0;0;0.0;0.0;0.0;0.2;fraca
2016;1;13;4;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;11;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;19;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;13;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;20;0;12;0;0.0;0.0;0.0;0.0;fraca
