hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
21;30;2;0;0.0;0.0;0.0;0.0;fraca
17;30;9;0;0.0;0.0;0.0;0.0;fraca
0;0;0;0;0.79;0.0;0.0;0.4;fraca
9;0;4;0;0.0;0.0;0.0;0.0;fraca
10;0;9;0;0.0;0.0;0.0;0.0;fraca
13;0;5;0;0.0;0.0;0.0;0.0;fraca
9;30;8;0;0.0;0.0;0.0;0.0;fraca
0;30;1;0;0.4;0.0;0.0;0.2;fraca
15;0;5;0;0.0;0.0;0.0;0.0;fraca
1;30;1;0;0.0;0.0;0.0;0.0;fraca
13;0;17;0;0.0;0.0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;0.0;0.0;fraca
12;0;15;0;0.0;0.0;0.0;0.0;fraca
15;30;17;0;0.0;0.0;0.0;0.0;fraca
6;30;4;0;0.0;0.0;0.0;0.0;fraca
9;0;2;0;0.2;0.0;0.0;0.0;fraca
18;0;6;0;0.0;0.0;0.0;0.0;fraca
9;30;6;0;0.0;0.0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;0.0;0.0;fraca
11;30;11;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
5;30;3;0;0.0;0.0;0.0;0.0;fraca
12;30;6;0;0.0;0.0;0.0;0.0;fraca
11;0;5;0;0.0;0.0;0.0;0.0;fraca
4;0;2;0;0.0;0.0;0.0;0.2;fraca
12;30;21;0;0.0;0.0;0.0;0.0;fraca
10;0;5;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.2;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
18;30;0;0;0.0;0.0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;0.0;0.0;fraca
11;30;2;0;0.0;0.0;0.0;0.0;fraca
19;30;11;0;0.0;0.0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;0.0;0.0;fraca
